69,Fying/Gliding,ME,RE,,ME/RE,athletic,NULL,3,3,3/6,1/5,2/4,3/6,2/5,2/6,3,1/5,2/6,2/5,2/6,2/6,3,2/5,2/5,1/5,2/6,2/6,2/5,3,3,3,3,3,3,2/7,2/7,2/7,3,3,3,3,3,3,3,3,3,3,1/4,2/6,3/6,NULL,NULL,NULL,NULL,NULL
70,Foraging,IN,ME,,IN/ME,outdoor,NULL,2/5,1/5,2/6,2/6,2/6,2/6,6,2/5,2/6,2/6,2/5,2/6,2/6,1/4,2/5,2/4,2/6,2/6,2/6,1/3,2/6,2/6,2/6,2/6,2/6,2/6,2/7,2/5,1/5,2/5,2/5,2/5,2/6,2/6,1/4,2/6,2/6,2/6,2/6,2/6,2/5,2/5,1/3,NULL,NULL,NULL,NULL,NULL
71,Frenzy,EM,SD,,EM/SD,concentration,NULL,6,3,2/6,2/6,2/5,2/6,2/5,2/6,6,2/6,2/6,2/5,2/6,2/6,6,1/5,1/3,2/6,2/5,2/6,4,5,3/6,5,5,5,5,3,3,3,3,2/5,8,2/4,6,5,9,3,4,1/5,5,2/6,2/6,NULL,NULL,NULL,NULL,NULL
72,Gambling,ME,PR,,ME/PR,social,NULL,2/6,2/6,2/5,1/3,1/3,2/4,2/6,1/4,2/5,1/3,1/4,2/4,2/6,2/4,2/6,3/5,2/6,1/3,3/6,2/6,2/5,2/6,2/7,2/4,2/6,2/6,2/5,1/4,2/6,2/4,2/4,2/5,2/4,2/5,1/3,1/5,2/4,2/5,2/5,2/4,2/5,2/5,2/6,NULL,NULL,NULL,NULL,NULL
74,Gimmickry,IN,RE,,IN/RE,general,NULL,2/4,3/7,3/8,2/4,3/7,3/7,4,2/6,2/5,2/5,2/5,3/7,2/5,2/6,1/4,3,2/6,2/5,2/6,2/7,3/7,2/5,2/6,3,3,3,3,3/7,3/7,3/7,3/7,3,2/6,3,3,3/7,3/7,3/7,3,3/7,2/5,2/6,2/7,NULL,NULL,NULL,NULL,NULL
75,Grappling Hook,AG,,,AG,arms,NULL,3,2/6,2/6,1/3,2/4,2/6,2/5,1/5,2/4,1/3,1/4,2/5,2/5,2/6,3,3,2/4,1/3,2/6,2/5,3/6,3,3,3,3,3,3,2/5,2/5,2/6,2/6,3,3,3,3,3,2/4,3,2/6,3,3/8,1/5,2/6,NULL,NULL,NULL,NULL,NULL
76,Heraldry,ME,RE,,ME/RE,academic,NULL,3/5,3/5,3/5,2/6,3/5,1/5,2/4,2/5,1/3,2/5,2/6,3/6,1/2,2/5,2/6,2/5,2/6,2/5,1/3,1/4,2/4,3/5,3/5,3/5,2/5,3/5,2/5,2/4,3/6,2/4,3/7,3/8,1/3,2/5,1/4,2/4,2/6,2/4,3/5,2/5,3/6,2/5,1/4,NULL,NULL,NULL,NULL,NULL
77,Herb Lore,ME,RE,,ME/RE,academic,NULL,1/3,1/2,2/6,2/6,3/6,2/6,2/4,2/6,1/4,2/6,2/5,2/4,1/4,2/6,1/4,2/4,2/4,2/6,1/4,1/3,2/5,2/6,2/6,2/6,1/4,1/4,2/6,2/4,1/2,1/2,1/2,1/2,1/3,2/5,2/4,2/4,1/4,1/4,2/6,1/4,1/2,2/6,1/3,NULL,NULL,NULL,NULL,NULL
78,Herding,EM,PR,,EM/PR,outdoor,NULL,2/6,1/2,1/4,2/5,2/5,1/4,6,1/4,2/6,2/5,2/4,2/6,2/7,1/2,2/6,3/6,3/7,2,2/6,2/7,3/7,2/5,2/7,2/6,2/5,2/5,2/6,2/5,1/3,2/5,2/5,3/7,3/7,3/7,3/7,3/7,4,3/5,2/6,3/6,2/5,1/4,2/7,NULL,NULL,NULL,NULL,NULL
79,Hide Item,RE,IN,,RE/IN,subterfuge,NULL,6,3,2/5,1/3,1/4,2/5,2/4,1/3,2/6,1/3,1/4,2/4,2/7,2/5,2/5,3,2/7,1/3,3,1/5,3/6,5,6,5,5,5,3,5,3,6,4,6,6,5,6,6,2/6,2,6,2/5,6,1/3,1/5,NULL,NULL,NULL,NULL,NULL
80,Horticulture,RE,EM,,RE/EM,general,NULL,1/4,1/2,3/8,8,8,8,6,6,1/4,4,3,3,2/6,8,1/5,2/6,1/4,4,3,1/2,3/8,2/6,2/6,2/6,2/6,2/5,2/6,2/5,1/4,1/3,2/5,1/3,1/3,2/6,2/6,2/6,5,2/5,2/6,2/6,1/4,6,1/2,NULL,NULL,NULL,NULL,NULL
81,Hostile Environments,AG,SD,,AG/SD,outdoor,NULL,3,1/3,1/3,3/6,2/6,1/4,2/3,1/4,2/7,2/6,1/4,2/5,3/6,2/5,3,3/5,3/6,3/6,2/6,2/4,2/4,3,2/7,3,3,3,3,3,1/4,3,2/4,3,3,3,3,3,3,2/7,3,3,2/5,1/4,2/4,NULL,NULL,NULL,NULL,NULL
82,Hypnosis,PR,SD,,PR/SD,medical,NULL,3,NULL,6,5,4,4,2/5,4,2/3,3/6,4,4,2/5,4,3/6,2/5,4,2/6,3/6,3/6,3/5,2/4,3,2/4,2/4,1/4,1/4,3/6,3,3/6,2/6,2/5,2/4,1/5,2/5,3/6,2/6,2/5,2/5,1/2,3/6,4,4,NULL,NULL,NULL,NULL,NULL
84,Interrogation,RE,AG,,RE/AG,social,NULL,4,2/5,2/6,2/7,2/5,3/9,7,2/7,3/6,2/6,3/5,4,1/4,2/4,4,3/6,3,1/2,1/4,2/6,3/7,3,1/4,3,3,3,2/5,2/5,1/5,3/7,2/5,3,2/5,2/5,2/4,3/5,2/4,2/4,2/5,1/4,2/4,2/7,1/3,NULL,NULL,NULL,NULL,NULL
85,Juggling,AG,IN,,AG/IN,athletic,NULL,3,2/7,2/5,1/3,1/4,1/5,3/7,1/3,3,1/2,1/4,2/7,1/5,1/5,3,2/5,2/7,1/2,2/7,2/7,2/6,3,2/5,3,3,3,3,2/6,2/7,2/7,2/7,2/6,4,2/6,2/5,2/6,3,2/5,2/5,2/5,3/8,1/3,1/5,NULL,NULL,NULL,NULL,NULL
86,Jumping,ST,AG,,ST/AG,athletic,NULL,4,3,1/3,1/4,1/3,1/3,1/3,1/3,3,1/4,1/4,1/3,3/6,1/3,4,1/4,2/5,1/4,3/6,3/6,2/6,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3/7,4,4,4,3,1/3,1/3,NULL,NULL,NULL,NULL,NULL
87,Lancing,ST,AG,,ST/AG,arms,NULL,18,20,3/6,3/6,6,2/6,3/6,3/6,20,3/6,5,3/6,3/6,3/6,18,12,3/6,18,3/6,3/6,3/6,18,20,18,18,18,18,20,20,20,20,8,20,8,15,20,20,20,18,20,20,3/6,2/6,NULL,NULL,NULL,NULL,NULL
88,Leadership,PR,RE,,PR/RE,social,NULL,2/4,2/5,2/5,2/6,2/7,2/5,1/4,2/5,2/6,2/6,2/6,2/6,1/4,2/4,2/4,2/6,2/6,2/6,1/3,2/6,2/5,2/4,2/5,2/4,2/4,2/5,2/4,2/5,2/5,2/5,1/4,2/5,2/6,2/5,2/5,2/6,2/4,1/5,2/6,1/4,3/6,2/5,3/6,NULL,NULL,NULL,NULL,NULL
89,Leather Working,AG,RE,,AG/RE,general,NULL,3,2/5,2/4,2/4,2/5,2/4,6,2/4,3,2/4,2/5,2/4,2/6,2/4,3,3/5,2/6,1/4,4,2/5,2/6,3,3,3,3,3,3,2/6,2/5,2/5,2/4,3,4,3,3,3,3/7,3,3,3,2/6,2/4,2/5,NULL,NULL,NULL,NULL,NULL
92,Lip Reading,IN,RE,NULL,IN/RE,linguistic,NULL,3/5,2/4,3/7,3/5,2/5,2/5,3/5,2/5,2/5,3/5,2/4,3/5,1/4,3/7,3/5,3/5,2/4,3/5,2/5,2/6,2/5,2/4,2/4,2/4,2/4,3/5,1/3,2/4,2/4,2/4,2/4,3/6,2/6,2/4,1/4,1/3,2/6,1/3,2/4,1/4,2/4,2/5,2/6,NULL,NULL,NULL,NULL,NULL
93,Loading,EM,RE,,EM/RE,outdoor,NULL,3,2,1/3,2/6,3/6,1/4,2/6,1/5,3,2/6,1/2,2/6,2/7,1/4,3,3,2/7,3,2/6,2/7,2/4,4,3,3,3,3,3,2,2,2,3,3,4,3,3,3,4,3,3,3,3,1/5,2/7,NULL,NULL,NULL,NULL,NULL
